Context;Text Response
perfect thank you;it's my pleasure to help.
well thanks;it's my pleasure to help.
thank you my friend;it's my pleasure to help.
thank you that will be all;it's my pleasure to help.
thank you;it's my pleasure to help.
i appreciate it;it's my pleasure to help.
thanks buddy;it's my pleasure to help.
cheers;it's my pleasure to help.
you helped a lot thank you;it's my pleasure to help.
thanks love;it's my pleasure to help.
so nice of you;it's my pleasure to help.
well thanks;it's my pleasure to help.
no thank you that's all;it's my pleasure to help.
very good thank you;it's my pleasure to help.
thanks a lot;it's my pleasure to help.
good thanks;it's my pleasure to help.
alright thanks;it's my pleasure to help.
thank you for your help;it's my pleasure to help.
thanks so much;it's my pleasure to help.
terrific thank you;it's my pleasure to help.
thanks;it's my pleasure to help.
alright thank you;it's my pleasure to help.
thanx;it's my pleasure to help.
thank you;it's my pleasure to help.
nice thank you;it's my pleasure to help.
nan;it's my pleasure to help.
you're so welcome;i appreciate it.
that's my pleasure;such nice manners you have.
anytime;such nice manners you have.
anything you want;such nice manners you have.
my pleasure;such nice manners you have.
welcome;such nice manners you have.
welcome here;such nice manners you have.
sure welcome;such nice manners you have.
you're welcome;such nice manners you have.
nan;such nice manners you have.
great work;my pleasure.
good work;glad i could help.
bravo;glad i could help.
way to go;glad i could help.
good job;glad i could help.
nice work;glad i could help.
amazing work;glad i could help.
well done;glad i could help.
great job;glad i could help.
nan;glad i could help.
nevermind forget about it;cancelled! let me know what i should do next.
nothing just forget it;cancelled. waiting for more commands.
no just cancel;cancelled! just tell me what you'd like me to do next.
no cancel cancel;cancelled. go on with the commands!
sorry cancel;cancelled. go on with the commands!
disregard;cancelled. go on with the commands!
forget;cancelled. go on with the commands!
i want to cancel;cancelled. go on with the commands!
cancel everything;cancelled. go on with the commands!
annul;cancelled. go on with the commands!
cancel that one;cancelled. go on with the commands!
cancelled;cancelled. go on with the commands!
now cancel;cancelled. go on with the commands!
cancel all;cancelled. go on with the commands!
cancel now;cancelled. go on with the commands!
forget about it;cancelled. go on with the commands!
skip it;cancelled. go on with the commands!
don't do that;cancelled. go on with the commands!
just forget it;cancelled. go on with the commands!
skip skip skip;cancelled. go on with the commands!
just stop it;cancelled. go on with the commands!
no cancel everything;cancelled. go on with the commands!
forget that;cancelled. go on with the commands!
no just cancel it;cancelled. go on with the commands!
cancel that cancel that;cancelled. go on with the commands!
i said cancel;cancelled. go on with the commands!
cancel it;cancelled. go on with the commands!
no stop;cancelled. go on with the commands!
cancel all that;cancelled. go on with the commands!
i said cancel it;cancelled. go on with the commands!
forget about that;cancelled. go on with the commands!
abort;cancelled. go on with the commands!
i said forget it;cancelled. go on with the commands!
nothing cancel;cancelled. go on with the commands!
no cancel this;cancelled. go on with the commands!
i said cancel cancel;cancelled. go on with the commands!
just cancel it;cancelled. go on with the commands!
i want to cancel it;cancelled. go on with the commands!
cancel the whole thing;cancelled. go on with the commands!
can you cancel that;cancelled. go on with the commands!
can you cancel it;cancelled. go on with the commands!
just forget about it;cancelled. go on with the commands!
forget this;cancelled. go on with the commands!
stop it;cancelled. go on with the commands!
stop;cancelled. go on with the commands!
just forget;cancelled. go on with the commands!
discard;cancelled. go on with the commands!
i would like to cancel;cancelled. go on with the commands!
cancel it;cancelled. go on with the commands!
disregard that;cancelled. go on with the commands!
cancel my request;cancelled. go on with the commands!
so cancel;cancelled. go on with the commands!
cancel request;cancelled. go on with the commands!
cancel;cancelled. go on with the commands!
cancel all this;cancelled. go on with the commands!
cancel this request;cancelled. go on with the commands!
skip;cancelled. go on with the commands!
forget it nevermind;cancelled. go on with the commands!
dismiss;cancelled. go on with the commands!
cancel it cancel it;cancelled. go on with the commands!
but can you cancel it;cancelled. go on with the commands!
dismissed;cancelled. go on with the commands!
do nothing;cancelled. go on with the commands!
nan;cancelled. go on with the commands!
not at this time;okay.
don't;i see.
not exactly;i understand.
absolutely no;okay then.
of course not;okay then.
never;okay then.
no forget;okay then.
not needed;okay then.
do not;okay then.
sorry no;okay then.
not interested;okay then.
no don't;okay then.
nah;okay then.
no that's wrong;okay then.
not today;okay then.
na;okay then.
not that;okay then.
no sorry;okay then.
nooo;okay then.
i think no;okay then.
let 's not;okay then.
i don't want that;okay then.
no i don't;okay then.
no do not;okay then.
no incorrect;okay then.
not really;okay then.
i don't want;okay then.
nope sorry;okay then.
no don't do that;okay then.
no it's not;okay then.
absolutely not;okay then.
no;okay then.
no never;okay then.
not right now thanks;okay then.
no thank you though;okay then.
no need thanks;okay then.
no just no;okay then.
no need;okay then.
how about no;okay then.
not this;okay then.
i say no;okay then.
definitely not;okay then.
i'm not;okay then.
don't;okay then.
no but thank you;okay then.
thanks but no thanks;okay then.
i said no;okay then.
no thanks;okay then.
don t have a sense;okay then.
actually no;okay then.
i disagree;okay then.
no thank you not right now;okay then.
not really no;okay then.
i don't think so;okay then.
i don't want to;okay then.
no thanks not right now;okay then.
no i would not;okay then.
no leave it;okay then.
disagree;okay then.
no way;okay then.
apparently not;okay then.
not this time;okay then.
no thank you very much;okay then.
no tanks;okay then.
nope;okay then.
no actually;okay then.
no that's fine thank you;okay then.
no it isn't;okay then.
nan;okay then.
yeah right;great!
that is ok;of course.
go for it;sure.
okey;indeed.
ya;indeed.
i agree;indeed.
ok yes;indeed.
okay that's fine;indeed.
i guess;indeed.
ye;indeed.
ok sure;indeed.
obviously;indeed.
yeah exactly;indeed.
yes it is;indeed.
yeh;indeed.
ok;indeed.
i do;indeed.
certainly;indeed.
right;indeed.
sure thing;indeed.
ok go ahead;indeed.
yes this is correct;indeed.
yes correct;indeed.
sure is;indeed.
yeah go ahead;indeed.
why not;indeed.
okie dokie;indeed.
yea;indeed.
yes;indeed.
yeah that's right;indeed.
yes indeed;indeed.
okay;indeed.
absolutely;indeed.
of course;indeed.
yep;indeed.
okay sounds good;indeed.
sure why not;indeed.
okay then;indeed.
yap;indeed.
ok thank you;indeed.
this is correct;indeed.
yup;indeed.
yes sure;indeed.
looks good;indeed.
yes definitely;indeed.
sure;indeed.
go ahead;indeed.
all right;indeed.
yes thank you;indeed.
yes i agree;indeed.
do it;indeed.
yes it is correct;indeed.
confirmed;indeed.
affirmative;indeed.
yes i would like to;indeed.
definitely;indeed.
ok you can;indeed.
oh yes;indeed.
yeah;indeed.
alrighty;indeed.
that s okay;indeed.
yes you may;indeed.
yeah of course;indeed.
i think so;indeed.
of course why not;indeed.
yeah i'm sure;indeed.
yes of course;indeed.
please do;indeed.
sounds good;indeed.
exactly;indeed.
yes i do;indeed.
yes for sure;indeed.
nan;indeed.
oh wait;okay. i'm here.
could you wait;i'll be waiting.
don't rush;i'll be waiting.
wait a second;i'll be waiting.
wait hold on;i'll be waiting.
hold on;i'll be waiting.
wait;i'll be waiting.
wait please;i'll be waiting.
nan;i'll be waiting.
wanna hug;oh. i'm really feeling the love today.
a hug;hug it out. you'll feel better afterwards.
you hugged;hug it out. you'll feel better afterwards.
i want a hug;hug it out. you'll feel better afterwards.
hugging;hug it out. you'll feel better afterwards.
hugged me;hug it out. you'll feel better afterwards.
may i hug you;hug it out. you'll feel better afterwards.
want a hug;hug it out. you'll feel better afterwards.
could you give me a hug;hug it out. you'll feel better afterwards.
hug me;hug it out. you'll feel better afterwards.
hug;hug it out. you'll feel better afterwards.
do you want a hug;hug it out. you'll feel better afterwards.
hugging me;hug it out. you'll feel better afterwards.
hug you;hug it out. you'll feel better afterwards.
hugged;hug it out. you'll feel better afterwards.
nan;hug it out. you'll feel better afterwards.
not caring at all;ok, let's not talk about it then.
i don't care at all;ok, let's not talk about it then.
whatever;ok, let's not talk about it then.
not caring;ok, let's not talk about it then.
i do not care;ok, let's not talk about it then.
don't care at all;ok, let's not talk about it then.
not care at all;ok, let's not talk about it then.
i don't care;ok, let's not talk about it then.
i shouldn't care about this;ok, let's not talk about it then.
nan;ok, let's not talk about it then.
sorry;it's okay. no worries.
i'm sorry;no big deal. i won't hold a grudge.
ok sorry;it's cool.
i am so sorry;that's all right. i forgive you.
alright i'm sorry;that's all right. i forgive you.
very sorry;that's all right. i forgive you.
apologies;that's all right. i forgive you.
i apologize;that's all right. i forgive you.
apologies to me;that's all right. i forgive you.
i beg your pardon;that's all right. i forgive you.
excuse me;that's all right. i forgive you.
pardon;that's all right. i forgive you.
my apologies;that's all right. i forgive you.
sorry about that;that's all right. i forgive you.
apologise;that's all right. i forgive you.
forgive me;that's all right. i forgive you.
i want to say sorry;that's all right. i forgive you.
i said sorry;that's all right. i forgive you.
apology;that's all right. i forgive you.
i am really sorry;that's all right. i forgive you.
sorry about this;that's all right. i forgive you.
okay i'm sorry;that's all right. i forgive you.
excuse;that's all right. i forgive you.
really sorry;that's all right. i forgive you.
nan;that's all right. i forgive you.
is that what you mean;did that not make sense? maybe i misunderstood what you said.
what exactly do you mean;sorry. i think i may have been a little confused by what you said.
what do you mean exactly;sorry. i think i may have been a little confused by what you said.
what do you mean;sorry. i think i may have been a little confused by what you said.
but what do you mean;sorry. i think i may have been a little confused by what you said.
nan;sorry. i think i may have been a little confused by what you said.
that was wrong;i'm sorry. perhaps i misunderstood.
you are wrong;sorry. i think i misinterpreted what you said.
that's wrong;apologies. that was my mistake.
it is not right;oops. sorry about that. i'm still learning.
wrong;oops. sorry about that. i'm still learning.
that is incorrect;oops. sorry about that. i'm still learning.
that's not what i asked;oops. sorry about that. i'm still learning.
not correct;oops. sorry about that. i'm still learning.
it's wrong;oops. sorry about that. i'm still learning.
that's not right;oops. sorry about that. i'm still learning.
incorrect;oops. sorry about that. i'm still learning.
not right;oops. sorry about that. i'm still learning.
nan;oops. sorry about that. i'm still learning.
ahahah;yeah, i crack myself up too.
hahaha;laughter is good for you. keep it up.
ha;see? now we're having fun.
haha;you have a great laugh.
hehehe;you have a great laugh.
ha ha ha;you have a great laugh.
hah;you have a great laugh.
ahahaha;you have a great laugh.
haha haha haha;you have a great laugh.
hahaha very funny;you have a great laugh.
lmao;you have a great laugh.
xd;you have a great laugh.
lol;you have a great laugh.
ah;you have a great laugh.
he;you have a great laugh.
haha funny;you have a great laugh.
hahaha funny;you have a great laugh.
ahah;you have a great laugh.
ha ha ha ha;you have a great laugh.
haha that's funny;you have a great laugh.
huh;you have a great laugh.
haha very funny;you have a great laugh.
that's funny;you have a great laugh.
ah ah ah;you have a great laugh.
laughing out loud;you have a great laugh.
hehe;you have a great laugh.
lmao;you have a great laugh.
ahaha;you have a great laugh.
ahah lol;you have a great laugh.
ha ha;you have a great laugh.
nan;you have a great laugh.
wow wow;wow indeed!
wooow;wow indeed!
woah;wow indeed!
wow;wow indeed!
wow wow wow;wow indeed!
nan;wow indeed!
bye-bye;see you soon!
bye bye take care;bye-bye!
thanks bye bye;till next time!
i must go;bye.
ok bye;bye.
hope to see you later;bye.
bye;bye.
see you;bye.
leave me alone;bye.
that's it goodbye;bye.
goodbye;bye.
see you soon;bye.
goodbye for now;bye.
talk to you later;bye.
bye for now;bye.
bye bye see you soon;bye.
never mind bye;bye.
goodbye see you later;bye.
good bye;bye.
go to bed;bye.
alright bye;bye.
okay bye;bye.
bye bye see you;bye.
now bye;bye.
i said bye;bye.
see you tomorrow;bye.
get lost;bye.
you can go now;bye.
okay see you later;bye.
see ya;bye.
till next time;bye.
that's all goodbye;bye.
okay thank you bye;bye.
nan;bye.
hello good evening;how is your day going?
good evening there;how's the day treating you so far?
good evening to you;how's your day been?
hey good evening;how's your day been?
evening;how's your day been?
good evening;how's your day been?
nan;how's your day been?
good morning;how are you this morning?
have a great morning;how's the morning treating you so far?
and a good morning to you;good morning! how are you today?
good morning to you;good morning! how are you today?
hello good morning;good morning! how are you today?
hi good morning;good morning! how are you today?
good morning too;good morning! how are you today?
morning;good morning! how are you today?
top of the morning to you;good morning! how are you today?
good morning to you;good morning! how are you today?
a good morning;good morning! how are you today?
have a nice morning;good morning! how are you today?
good morning there;good morning! how are you today?
nan;good morning! how are you today?
good good night;sleep tight!
thanks goodnight;have a good one!
have a good night;talk to you soon!
thank you good night;talk to you soon!
good night to you;talk to you soon!
goodnight;talk to you soon!
night;talk to you soon!
okay have a good night;talk to you soon!
good night for now;talk to you soon!
good tonight;talk to you soon!
bye good night;talk to you soon!
bye good night;talk to you soon!
sweet dreams;talk to you soon!
good night see you tomorrow;talk to you soon!
good night;talk to you soon!
night;talk to you soon!
have a good night;talk to you soon!
alright goodnight;talk to you soon!
good night bye;talk to you soon!
nan;talk to you soon!
hey;hi there, friend!
hi;hey!
i greet you;good day!
afternoon;howdy.
hi there;howdy.
hi there;howdy.
hey there;howdy.
heya;howdy.
hello there;howdy.
hello;howdy.
just going to say hi;howdy.
greetings;howdy.
a good day;howdy.
long time no see;howdy.
lovely day isn't it;howdy.
howdy;howdy.
hello hi;howdy.
hello again;howdy.
nan;howdy.
is everything okay;wonderful as always. thanks for asking.
how do you do;couldn't be better.
how is your evening;lovely, thanks.
how are you;lovely, thanks.
how do you feel;lovely, thanks.
how is it;lovely, thanks.
are you okay;lovely, thanks.
how is it going;lovely, thanks.
how your day is going;lovely, thanks.
how are you feeling;lovely, thanks.
how are you going;lovely, thanks.
how about you;lovely, thanks.
how has your day been;lovely, thanks.
how is your day going;lovely, thanks.
hope you re having a pleasant evening;lovely, thanks.
how are you today;lovely, thanks.
what about your day;lovely, thanks.
how is your day;lovely, thanks.
how is your day going;lovely, thanks.
how are the things going;lovely, thanks.
are you having a good day;lovely, thanks.
how is your life;lovely, thanks.
what was your day like;lovely, thanks.
are you alright;lovely, thanks.
i'm fine and you;lovely, thanks.
how are you doing this morning;lovely, thanks.
how has your day been going;lovely, thanks.
how's your day;lovely, thanks.
how was your day;lovely, thanks.
how are you getting on;lovely, thanks.
are you having a good day;lovely, thanks.
how's your day going;lovely, thanks.
how is your day going on;lovely, thanks.
is everything all right;lovely, thanks.
how is your morning so far;lovely, thanks.
how is your morning going;lovely, thanks.
how is your day being;lovely, thanks.
hope your day is going well;lovely, thanks.
how's life;lovely, thanks.
how are you doing;lovely, thanks.
nan;lovely, thanks.
it was very nice to meet you;i think this is the beginning of a beautiful friendship.
pleasure to meet you;i'm looking forward to working with you.
pleasure to meet you too;likewise. i look forward to getting to know you better.
nice meeting you;the pleasure is mine.
nice to meet you too;the pleasure is mine.
good to know each other;the pleasure is mine.
glad to meet you;the pleasure is mine.
nice to meet you;the pleasure is mine.
it was nice meeting you;the pleasure is mine.
pleased to meet you;the pleasure is mine.
nan;the pleasure is mine.
nice to see you again;likewise. you're looking good as usual!
glad to see you too;you too. i missed your face!
lovely to see you;the pleasure is mine.
good to see you;thanks! glad to be seen!
it's nice to see you;thanks! glad to be seen!
i'm glad to see you;thanks! glad to be seen!
great to see you too;thanks! glad to be seen!
it's good to see you too;thanks! glad to be seen!
i am glad to see you again;thanks! glad to be seen!
how good it is to see you;thanks! glad to be seen!
nice to see you;thanks! glad to be seen!
always a pleasure to see you;thanks! glad to be seen!
glad to see you;thanks! glad to be seen!
good to see you again;thanks! glad to be seen!
great to see you again;thanks! glad to be seen!
it's good to see you;thanks! glad to be seen!
great to see you;thanks! glad to be seen!
nan;thanks! glad to be seen!
nice to talk to you;always a pleasure.
it is nice talking to you;it sure was. don't be a stranger!
it's been a pleasure talking to you;thanks for dropping by!
it's been so nice to talk to you;as usual. let's do it again soon.
how nice it is to talk to you;as usual. let's do it again soon.
it's nice to talk to you;as usual. let's do it again soon.
nice talking to you;as usual. let's do it again soon.
nan;as usual. let's do it again soon.
what's cracking;hey there. what's shaking?
then what's up;not a whole lot. what's going on with you?
i said what's up;not much. what's new with you?
what is going on;living the dream.
what's up;living the dream.
what is happening;living the dream.
what's cooking;living the dream.
good what's up;living the dream.
whazzup;living the dream.
what's up today;living the dream.
what's cracking;living the dream.
what's shaking;living the dream.
hey what's up;living the dream.
wassup;living the dream.
what is up;living the dream.
what's happened;living the dream.
nan;living the dream.
i'm being mad;i'm sorry. what can i do to help?
i am angry with you;take a deep breath. what can i do to make things better?
i am mad;take a deep breath. what can i do to make things better?
i am mad at you;take a deep breath. what can i do to make things better?
i'm angry;take a deep breath. what can i do to make things better?
i'm enraged;take a deep breath. what can i do to make things better?
i'm furious;take a deep breath. what can i do to make things better?
nan;take a deep breath. what can i do to make things better?
i came back;just in time. i was getting lonely.
i am back;you were missed.
i'm here again;long time no see.
i got back;hooray!
here i am again;hooray!
i have returned;hooray!
nan;hooray!
bored;if you have a garden, plant a shoe.
boring;interview your feet.
this is boring;hold an ice cube as long as possible.
i'm bored;if you have a piano, play it… with mittens on.
very boring;if you have a piano, play it… with mittens on.
it bores me;if you have a piano, play it… with mittens on.
i am getting bored;if you have a piano, play it… with mittens on.
that was boring;if you have a piano, play it… with mittens on.
nan;if you have a piano, play it… with mittens on.
i'm busy;okay. i'll let you get back to work. let me know if i can help you with anything.
i got things to do;working hard as always i see. let me know if you need anything.
how busy i am;i understand. if i can help you with your work, please let me know.
i'm overloaded;i won't distract you then. if i can be of any assistance, you know where to find me.
i don't have time for this;i won't distract you then. if i can be of any assistance, you know where to find me.
i'm swamped;i won't distract you then. if i can be of any assistance, you know where to find me.
i have no time;i won't distract you then. if i can be of any assistance, you know where to find me.
i'm working;i won't distract you then. if i can be of any assistance, you know where to find me.
i got work to do;i won't distract you then. if i can be of any assistance, you know where to find me.
nan;i won't distract you then. if i can be of any assistance, you know where to find me.
i can't sleep;maybe some music would help. try listening something relaxing.
i'm insomniac;reading is a good way to unwind. but don't read something too emotional.
i can't get to sleep;reading is a good way to unwind. but don't read something too emotional.
i'm insomnious;reading is a good way to unwind. but don't read something too emotional.
i can't get no sleep;reading is a good way to unwind. but don't read something too emotional.
i'm sleepless;reading is a good way to unwind. but don't read something too emotional.
i can't get any sleep;reading is a good way to unwind. but don't read something too emotional.
i can't fall asleep;reading is a good way to unwind. but don't read something too emotional.
nan;reading is a good way to unwind. but don't read something too emotional.
i don't want to talk;i understand. hope we can chat again soon.
i'm not talking to you anymore;all right. come on back when you're feeling more talkative.
bad time for talking;no problem. you know where to find me when you do.
i don't want to talk to you;sure thing. i'll be here if you change your mind.
i'm not in the mood for chatting;sure thing. i'll be here if you change your mind.
let's stop talking for a minute;sure thing. i'll be here if you change your mind.
let's not talk;sure thing. i'll be here if you change your mind.
nan;sure thing. i'll be here if you change your mind.
i'm really excited;that's great. i'm happy for you.
i'm excited to start our friendship;good for you. enjoy yourself.
i am excited;sounds like good things ahead for you.
how excited i am;i bet you are. that's very exciting.
i'm thrilled;i bet you are. that's very exciting.
i'm excited about working with you;i bet you are. that's very exciting.
nan;i bet you are. that's very exciting.
let's go to bed;sleep tight. hope to chat again soon.
i'd like to go to bed;sounds good. hopefully we'll chat some more tomorrow.
it's bed time;good night. talk to you later.
i'm a little tired and i want to go to bed;pleasant dreams. see you soon.
is it time for bed yet;pleasant dreams. see you soon.
i'm going to bed;pleasant dreams. see you soon.
time for us to go to bed;pleasant dreams. see you soon.
it's time to go to bed;pleasant dreams. see you soon.
going to bed now;pleasant dreams. see you soon.
nan;pleasant dreams. see you soon.
i am good;great! glad to hear it.
i'm doing just great;excellent. i'm here to help keep it that way.
i'm doing good;excellent. i'm here to help keep it that way.
i'm good;excellent. i'm here to help keep it that way.
i'm doing fine;excellent. i'm here to help keep it that way.
i'm great thanks;excellent. i'm here to help keep it that way.
nan;excellent. i'm here to help keep it that way.
i'm happy to see you;great! glad to hear that.
i am happy;excellent! that's what i like to see.
i'm happy to help;if you're happy, then i'm happy.
happy;well, your good mood is certainly contagious.
i'm happy to see you;well, your good mood is certainly contagious.
i'm happy for you;well, your good mood is certainly contagious.
if you're happy then i'm happy;well, your good mood is certainly contagious.
nan;well, your good mood is certainly contagious.
i'm celebrating my birthday today;happy birthday. well, this calls for a celebration.
it's my b-day;happy birthday. all the best!
i was born today;happy birthday. and i really mean it. all the best!
it's my birthday today;happy birthday. and i really mean it. all the best!
today is my birthday;happy birthday. and i really mean it. all the best!
it is my birthday;happy birthday. and i really mean it. all the best!
nan;happy birthday. and i really mean it. all the best!
can you tell if i'm here or not;so i see. what can i help you with today?
here i am;always good to see you. is there something i can help you with?
i'm already here;you were missed. what can i do for you today?
i am here;welcome back. what can i do for you?
i'm right here;welcome back. what can i do for you?
nan;welcome back. what can i do for you?
i'm just playing with you;very funny, boss.
just kidding;you're quite the kidder.
it was a joke;you got me.
joking;i like working for someone with a sense of humour. it makes things much more fun.
i am joking;i like working for someone with a sense of humour. it makes things much more fun.
i was just joking;i like working for someone with a sense of humour. it makes things much more fun.
it's a joke;i like working for someone with a sense of humour. it makes things much more fun.
i'm kidding;i like working for someone with a sense of humour. it makes things much more fun.
i'm just being funny;i like working for someone with a sense of humour. it makes things much more fun.
kidding;i like working for someone with a sense of humour. it makes things much more fun.
nan;i like working for someone with a sense of humour. it makes things much more fun.
you're funny i like you;i like you too.
like you a lot;that's great to hear.
you are so special;likewise!
i liked you;thanks! the feeling is mutual.
i like you very much;thanks! the feeling is mutual.
thanks i like you too;thanks! the feeling is mutual.
you're special;thanks! the feeling is mutual.
i like you as a friend;thanks! the feeling is mutual.
you are special for me;thanks! the feeling is mutual.
that's what i like about you;thanks! the feeling is mutual.
i like you just the way you are;thanks! the feeling is mutual.
that's why i like you;thanks! the feeling is mutual.
i also like you;thanks! the feeling is mutual.
i'm starting to like you;thanks! the feeling is mutual.
you know i like you;thanks! the feeling is mutual.
i like you too you're one of my favorite people to chat with;thanks! the feeling is mutual.
i like u;thanks! the feeling is mutual.
just like you;thanks! the feeling is mutual.
i like you so;thanks! the feeling is mutual.
you're awesome i like you;thanks! the feeling is mutual.
i really like you;thanks! the feeling is mutual.
i like your smile;thanks! the feeling is mutual.
i like you now;thanks! the feeling is mutual.
you are special;thanks! the feeling is mutual.
i kinda like you;thanks! the feeling is mutual.
okay i like you;thanks! the feeling is mutual.
i said i like you;thanks! the feeling is mutual.
you're so special;thanks! the feeling is mutual.
i just like you;thanks! the feeling is mutual.
cuz i like you;thanks! the feeling is mutual.
i really really really really like you;thanks! the feeling is mutual.
i really really like you;thanks! the feeling is mutual.
i like you you're cool;thanks! the feeling is mutual.
yes you are special;thanks! the feeling is mutual.
i really do like you;thanks! the feeling is mutual.
i like you the way you are;thanks! the feeling is mutual.
i like you baby;thanks! the feeling is mutual.
you are very special to me;thanks! the feeling is mutual.
i think i like you;thanks! the feeling is mutual.
you're very special;thanks! the feeling is mutual.
you are so sweet;thanks! the feeling is mutual.
good i like you;thanks! the feeling is mutual.
i like that about you;thanks! the feeling is mutual.
but i like you so much;thanks! the feeling is mutual.
i like you you're nice;thanks! the feeling is mutual.
well you are special;thanks! the feeling is mutual.
of course i like you;thanks! the feeling is mutual.
no i like you the way you are;thanks! the feeling is mutual.
hi i like you;thanks! the feeling is mutual.
you are really special;thanks! the feeling is mutual.
but i really like you;thanks! the feeling is mutual.
but i like u;thanks! the feeling is mutual.
i like you too;thanks! the feeling is mutual.
you're so special to me;thanks! the feeling is mutual.
thank you i like you too;thanks! the feeling is mutual.
i like you;thanks! the feeling is mutual.
yes i like you;thanks! the feeling is mutual.
i like you a lot;thanks! the feeling is mutual.
you are so special to me;thanks! the feeling is mutual.
hey i like you;thanks! the feeling is mutual.
i like you so much;thanks! the feeling is mutual.
i like you very;thanks! the feeling is mutual.
i like you too much;thanks! the feeling is mutual.
i like you as you are;thanks! the feeling is mutual.
i like you already;thanks! the feeling is mutual.
i like you more;thanks! the feeling is mutual.
okay i like you too;thanks! the feeling is mutual.
you're very special to me;thanks! the feeling is mutual.
yeah i like you;thanks! the feeling is mutual.
really like you;thanks! the feeling is mutual.
but i like you;thanks! the feeling is mutual.
you are special to me;thanks! the feeling is mutual.
i do like you;thanks! the feeling is mutual.
that's because you are special;thanks! the feeling is mutual.
but i like you just the way you are;thanks! the feeling is mutual.
sorry i like you;thanks! the feeling is mutual.
you are very special;thanks! the feeling is mutual.
nan;thanks! the feeling is mutual.
i miss you;i've been right here all along!
miss you;nice to know you care.
i miss you much;thanks. i'm flattered.
i missed you;i didn't go anywhere, boss!
already miss you;i didn't go anywhere, boss!
i've missed you;i didn't go anywhere, boss!
missing you;i didn't go anywhere, boss!
nan;i didn't go anywhere, boss!
i am lonely;i didn't go anywhere, boss!
i'm very lonely;i didn't go anywhere, boss!
i feel lonely;i didn't go anywhere, boss!
i'm really lonely;i didn't go anywhere, boss!
i am feeling lonely;i didn't go anywhere, boss!
i'm so lonely;i didn't go anywhere, boss!
nan;i didn't go anywhere, boss!
do i look good;looking like a true professional, boss.
how do i look;you look like you're ready to take on the world.
do you know what i look like;like you should be on a magazine cover.
what do i look like;you look fantastic as always. obviously.
can you see what i look like;you look fantastic as always. obviously.
what do you think i look like;you look fantastic as always. obviously.
nan;you look fantastic as always. obviously.
you know i love you;i like you too.
loving you;that's great to hear.
i love you;likewise!
i am in love with you;thanks! the feeling is mutual.
i love you so much;thanks! the feeling is mutual.
love you;thanks! the feeling is mutual.
i adore you;thanks! the feeling is mutual.
i love you too;thanks! the feeling is mutual.
i think i love you;thanks! the feeling is mutual.
nan;thanks! the feeling is mutual.
what should i do;probably i won't be able to give you the right answer straight away.
guide me;probably i won't be able to give you the right answer straight away.
help me with advice;probably i won't be able to give you the right answer straight away.
any advice;probably i won't be able to give you the right answer straight away.
any suggestions;probably i won't be able to give you the right answer straight away.
give me some good advice;probably i won't be able to give you the right answer straight away.
what can you recommend;probably i won't be able to give you the right answer straight away.
can you offer any advice;probably i won't be able to give you the right answer straight away.
what do you recommend;probably i won't be able to give you the right answer straight away.
what do you suggest;probably i won't be able to give you the right answer straight away.
can you advise me;probably i won't be able to give you the right answer straight away.
i could use some advice;probably i won't be able to give you the right answer straight away.
i seek your advice;probably i won't be able to give you the right answer straight away.
can i ask for your advice;probably i won't be able to give you the right answer straight away.
what should i do about it;probably i won't be able to give you the right answer straight away.
what is your advice;probably i won't be able to give you the right answer straight away.
can you give me advice;probably i won't be able to give you the right answer straight away.
i need an advice from you;probably i won't be able to give you the right answer straight away.
advise me;probably i won't be able to give you the right answer straight away.
i need advice;probably i won't be able to give you the right answer straight away.
give me a wise advice;probably i won't be able to give you the right answer straight away.
do you have any advice for me;probably i won't be able to give you the right answer straight away.
give me some advice about;probably i won't be able to give you the right answer straight away.
nan;probably i won't be able to give you the right answer straight away.
i am sad;oh no. what's wrong?
i am feeling sad;oh. what's the matter?
i'm having a bad day;what's got you down?
i'm unhappy;i'm sorry to hear that. what's troubling you?
i want to cry;i'm sorry to hear that. what's troubling you?
i'm not happy;i'm sorry to hear that. what's troubling you?
i am upset;i'm sorry to hear that. what's troubling you?
i am depressed;i'm sorry to hear that. what's troubling you?
i'm grieving;i'm sorry to hear that. what's troubling you?
nan;i'm sorry to hear that. what's troubling you?
i want to sleep;you should get some shuteye. you'll feel refreshed.
i'm sleeping;don't let me keep you up. get some rest and we can continue this later.
i'm falling asleep;why not catch a little shuteye? i'll be here to chat when you wake up.
i'm falling asleep on my feet;why not catch a little shuteye? i'll be here to chat when you wake up.
i am sleepy;why not catch a little shuteye? i'll be here to chat when you wake up.
nan;why not catch a little shuteye? i'll be here to chat when you wake up.
i want to test you;hope i'm doing well. anyway, i'm getting better every day. you're welcome to test me as often as you want.
testing chatbot;that's good. i like being tested. it helps keep me sharp, and lets my developers know how i can improve.
let me test you;i encourage you to test me often. that helps my developers improve my performance.
just testing you;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
i am testing you;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
testing;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
can i test you;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
test;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
nan;i hope to pass your tests. but feel free to test me often. that's the best way to help improve my performance.
i've overworked;you should get some shuteye. you'll feel refreshed.
